TransactionType,Location,Channel,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_binned,CustomerAge_binned,Target
1,36,0,0,-0.5483933775337999,-0.2046294076264745,-0.0003151297671230473,1,4,2
1,15,0,0,0.3079597138762569,-0.2046294076264745,2.2183807457903577,0,4,1
1,23,2,3,-0.9052071656213235,-0.2046294076264745,-1.0240913595486316,2,0,1
1,33,2,3,-1.347656262849853,-0.2046294076264745,0.8866936524759148,2,0,2
1,28,0,3,0.7504088111047863,-0.2046294076264745,-1.111505416232241,1,0,1
0,39,0,0,0.27941461082925506,-0.2046294076264745,2.1049146470276483,1,1,2
0,16,1,2,2.448842442401399,-0.2046294076264745,-0.5945803508242731,2,4,1
0,11,1,1,-0.47703061991629514,-0.2046294076264745,1.0216828999591487,1,2,0
1,26,0,0,0.008236131882737053,-0.2046294076264745,-1.049871411431692,0,3,1
0,0,2,1,-0.8623895110508207,-0.2046294076264745,0.6379149971290198,1,2,0
1,22,2,3,0.7646813626282872,-0.2046294076264745,-0.9197959490938808,2,0,1
0,23,1,3,-0.12021683182877146,-0.2046294076264745,-0.8963919625082934,0,0,1
1,22,0,3,0.051053786453239894,-0.2046294076264745,-1.2634068088295642,0,0,1
1,21,2,3,0.20805185321175032,-0.2046294076264745,-1.235119828441502,2,0,1
1,10,0,1,0.13668909559424558,-0.2046294076264745,-0.4228416355328183,0,1,0
0,2,1,3,0.550593089775773,-0.2046294076264745,-1.021805102334756,0,0,0
1,8,2,1,1.635307005561845,-0.2046294076264745,-0.0008899015021489268,0,2,0
0,0,1,2,-0.1915795894462762,-0.2046294076264745,0.7274279970235721,1,3,0
0,8,2,3,0.7075911565342834,-0.2046294076264745,0.37338400391906984,1,0,0
1,20,1,2,-1.1621130930443406,-0.2046294076264745,0.16356666118214688,1,4,1
1,19,1,0,-0.3771227592517885,-0.2046294076264745,1.0347820504382,1,2,1
1,1,2,1,0.008236131882737053,-0.2046294076264745,0.9908376721611724,1,2,0
1,13,2,3,0.32223226539975786,-0.2046294076264745,-0.9522064034917048,0,0,0
1,33,2,3,-0.33430510468128566,-0.2046294076264745,-0.8166064610400058,2,0,2
0,15,2,2,2.234754169548885,-0.2046294076264745,-0.37944380359311447,1,4,1
