TransactionType,Location,Channel,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_binned,CustomerAge_binned,Target
1,36,0,0,81.0,1.0,5112.21,589.828639179945,116.01371681225102,2
1,15,0,0,141.0,1.0,13758.91,297.6564675428116,116.01371681225102,1
1,23,2,3,56.0,1.0,1122.35,882.0008108170784,44.67844382691544,1
1,33,2,3,25.0,1.0,8569.06,882.0008108170784,44.67844382691544,2
1,28,0,3,172.0,1.0,781.6800000000003,589.828639179945,44.67844382691544,1
0,39,0,0,139.0,1.0,13316.71,589.828639179945,62.51226207324933,2
0,16,1,2,291.0,1.0,2796.24,882.0008108170784,116.01371681225102,1
0,11,1,1,86.0,1.0,9095.14,589.828639179945,80.34608031958322,0
1,26,0,0,120.0,1.0,1021.8800000000006,297.6564675428116,98.17989856591713,1
0,0,2,1,59.0,1.0,7599.52,589.828639179945,80.34608031958322,0
1,22,2,3,173.0,1.0,1528.81,882.0008108170784,44.67844382691544,1
0,23,1,3,111.0,1.0,1620.02,297.6564675428116,44.67844382691544,1
1,22,0,3,123.0,1.0,189.6899999999996,297.6564675428116,44.67844382691544,1
1,21,2,3,134.0,1.0,299.9300000000003,882.0008108170784,44.67844382691544,1
1,10,0,1,129.0,1.0,3465.54,297.6564675428116,62.51226207324933,0
0,2,1,3,158.0,1.0,1131.2600000000002,297.6564675428116,44.67844382691544,0
1,8,2,1,234.0,1.0,5109.97,297.6564675428116,80.34608031958322,0
0,0,1,2,106.0,1.0,7948.37,589.828639179945,98.17989856591713,0
0,8,2,3,169.0,1.0,6568.59,589.828639179945,44.67844382691544,0
1,20,1,2,38.0,1.0,5750.89,589.828639179945,116.01371681225102,1
1,19,1,0,93.0,1.0,9146.19,589.828639179945,80.34608031958322,1
1,1,2,1,120.0,1.0,8974.93,589.828639179945,80.34608031958322,0
1,13,2,3,142.0,1.0,1402.5,297.6564675428116,44.67844382691544,0
1,33,2,3,96.0,1.0,1930.96,882.0008108170784,44.67844382691544,2
0,15,2,2,276.0,1.0,3634.67,589.828639179945,116.01371681225102,1
1,24,0,3,158.0,1.0,673.3500000000004,882.0008108170784,44.67844382691544,1
1,25,1,1,95.0,1.0,2686.52,589.828639179945,62.51226207324933,1
1,19,2,0,197.0,1.0,1772.06,882.0008108170784,80.34608031958322,1
1,11,1,3,283.0,1.0,1351.69,589.828639179945,62.51226207324933,0
0,24,2,0,20.0,1.0,8334.47,589.828639179945,98.17989856591713,1
1,3,0,0,257.0,1.0,9823.64,589.828639179945,62.51226207324933,0
1,27,0,1,168.0,1.0,9690.15,297.6564675428116,80.34608031958322,1
1,20,2,3,150.0,1.0,399.0,297.6564675428116,44.67844382691544,1
0,37,1,0,50.0,1.0,14815.87,882.0008108170784,80.34608031958322,2
1,39,1,1,45.0,1.0,5764.72,882.0008108170784,80.34608031958322,2
1,25,1,3,145.0,1.0,900.6099999999997,589.828639179945,44.67844382691544,1
1,23,0,0,90.0,1.0,7914.88,297.6564675428116,116.01371681225102,1
1,28,2,2,216.0,1.0,1019.3899999999999,297.6564675428116,98.17989856591713,1
1,35,0,2,119.0,1.0,4323.66,882.0008108170784,116.01371681225102,2
1,30,2,0,19.0,1.0,14214.48,589.828639179945,80.34608031958322,2
0,5,2,0,116.0,1.0,13357.02,882.0008108170784,98.17989856591713,0
1,40,0,3,117.0,1.0,241.78999999999996,589.828639179945,44.67844382691544,2
1,21,1,3,33.0,1.0,868.6099999999997,882.0008108170784,62.51226207324933,1
1,6,1,2,90.0,1.0,4673.28,297.6564675428116,116.01371681225102,0
1,3,1,3,75.0,1.0,1509.27,882.0008108170784,44.67844382691544,0
1,28,2,3,105.0,1.0,781.6999999999998,297.6564675428116,44.67844382691544,1
1,10,2,3,138.0,1.0,265.5100000000002,297.6564675428116,44.67844382691544,0
0,34,2,1,175.0,1.0,1335.0900000000001,589.828639179945,80.34608031958322,2
0,18,2,2,121.0,1.0,3907.54,297.6564675428116,116.01371681225102,1
1,29,2,1,264.0,1.0,5183.85,297.6564675428116,80.34608031958322,1
1,41,1,0,145.0,1.0,14904.9,589.828639179945,116.01371681225102,2
1,36,1,3,142.0,1.0,918.8800000000001,882.0008108170784,62.51226207324933,2
1,29,0,2,90.0,1.0,4477.78,589.828639179945,98.17989856591713,1
1,23,1,3,83.0,1.0,1324.0299999999997,882.0008108170784,44.67844382691544,1
0,8,1,2,52.0,1.0,3534.93,589.828639179945,98.17989856591713,0
